,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
20218,2017-08-31,1096186,112404.66,128700,121669.64,2.0,2.0,866.0,0.0,143361.0,14,5,2013,1.0,114.0,4.0,121700.0
20235,2017-08-30,1074190,797135.13,366300,295591.00,0.0,1.0,660.0,0.0,397234.0,41,6,2013,1.0,5.0,1.0,298400.0
20245,2017-08-30,1102859,130578.46,183019,125000.00,3.0,2.0,999.0,12500.0,169647.0,41,20,2015,0.0,4.0,1.0,151200.0
20253,2017-08-30,1101591,200342.03,195946,153900.00,3.0,2.0,1325.0,0.0,232900.0,41,12,2014,1.0,4.0,7.0,175100.0
20258,2017-08-30,1098437,181484.63,139628,126500.00,2.0,1.0,783.0,0.0,146214.0,41,32,2016,1.0,3.0,1.0,127000.0
20284,2017-08-29,1097235,180867.96,310159,218783.20,4.0,2.0,1724.0,3500.0,317263.0,41,4,2012,1.0,6.0,4.0,260200.0
20290,2017-08-29,1097988,110945.77,173275,113946.95,2.0,1.0,1032.0,0.0,184026.0,41,32,2016,1.0,2.0,2.0,124700.0
20292,2017-08-29,1097278,810332.5,901444,960332.50,3.0,2.0,2224.0,0.0,427800.0,41,21,2015,0.0,1.0,6.0,960400.0
20297,2017-08-29,1103292,307837.49,257754,245000.00,3.0,2.0,1518.0,4054.0,329856.0,41,6,2012,0.0,3.0,1.0,254900.0
20302,2017-08-28,1102300,183783.06,303011,264672.70,4.0,2.0,2042.0,6363.0,395190.0,60,6,2011,0.0,2.0,1.0,281300.0
20368,2017-08-25,1102485,194739.95,208897,195760.55,3.0,2.0,1644.0,5000.0,257577.0,61,42,2016,1.0,11.0,1.0,216300.0
20390,2017-08-25,1101947,137843.07,91180,87886.10,1.0,1.0,583.0,0.0,121485.0,61,59,2017,1.0,5.0,1.0,87900.0
20429,2017-08-24,1100916,417499.28,254007,301600.00,3.0,2.0,1636.0,4500.0,352841.0,52,1,2008,0.0,3.0,5.0,307800.0
20459,2017-08-24,1091934,646598.76,341998,344675.00,4.0,2.0,1888.0,6491.0,400152.0,52,2,2009,0.0,8.0,1.0,344700.0
20469,2017-08-23,1095511,273669.32,155609,228013.00,3.0,2.0,1790.0,1522.0,326089.0,62,33,2016,1.0,5.0,3.0,240600.0
20478,2017-08-23,1102480,168945.24,169685,150380.00,3.0,1.0,1688.0,7875.0,204664.0,62,30,2016,0.0,1.0,1.0,181100.0
20498,2017-08-23,1100732,415601.67,256014,229000.00,2.0,1.0,1036.0,6000.0,290095.0,62,43,2016,0.0,2.0,2.0,238200.0
20528,2017-08-22,1096921,212369.09,247445,219177.34,2.0,2.0,963.0,0.0,301867.0,59,58,2017,1.0,2.0,1.0,225400.0
20555,2017-08-22,1095559,65726.9,73483,48300.00,2.0,1.0,1067.0,0.0,81927.0,59,20,2014,1.0,3.0,2.0,48400.0
20565,2017-08-22,1102841,141239.04,328056,141239.04,8.0,6.0,3495.0,13735.62,407201.0,59,26,2014,0.0,3.0,4.0,300100.0
20590,2017-08-21,1090365,154925.89,225495,161321.67,4.0,2.0,1495.0,8520.0,220466.0,42,36,2016,0.0,3.0,1.0,197100.0
20605,2017-08-21,1083953,159813.34,233358,162848.01,4.0,2.0,1620.0,8062.0,244658.0,42,32,2016,0.0,4.5,1.0,185900.0
20613,2017-08-21,1084465,284432.73,162410,153218.37,3.0,2.0,1315.0,0.0,200714.0,42,14,2014,1.0,8.0,1.0,154600.0
20639,2017-08-18,1083281,225768.16,97000,59496.22,3.0,2.0,1140.0,2550.0,96569.0,27,10,2014,1.0,6.0,1.0,70100.0
20670,2017-08-17,1100705,145280.05,271739,146426.44,4.0,2.0,2440.0,5982.0,293792.0,66,51,2016,1.0,5.0,1.0,250200.0
20683,2017-08-17,1099427,241283.37,126000,103014.87,2.0,1.0,1010.0,0.0,149238.0,66,60,2016,1.0,6.0,1.0,117600.0
20708,2017-08-16,1098327,367437.94,214498,148357.22,3.0,2.0,1454.0,8691.0,241110.0,58,37,2016,1.0,3.0,1.0,192500.0
20714,2017-08-16,1098338,107622.53,84727,70483.75,2.0,2.0,800.0,0.0,88259.0,58,58,2017,1.0,4.0,1.0,70500.0
20732,2017-08-16,1098339,189331.15,304262,191413.79,3.0,2.0,2407.0,5939.0,334153.0,58,24,2014,0.0,13.0,1.0,255600.0
20749,2017-08-16,1098649,254529.39,138461,129601.39,3.0,1.0,864.0,1.0,126561.0,58,16,2014,0.0,3.0,1.0,144100.0
20769,2017-08-15,1094554,579024.25,196155,83086.35,4.0,2.0,1946.0,11441.0,381839.0,48,36,2016,1.0,8.0,1.0,203600.0
20794,2017-08-15,1100789,9420.26,169100,9420.26,3.0,2.0,1083.0,0.0,211292.0,48,43,2016,1.0,1.0,1.0,9600.0
20857,2017-08-14,1100860,167954.88,146300,129277.14,3.0,2.0,1296.0,0.0,156922.0,77,66,2016,1.0,8.0,1.0,138600.0
20875,2017-08-14,1094521,439176.31,264169,195661.25,3.0,2.0,1365.0,5918.0,296439.0,77,25,2014,1.0,7.0,3.0,201600.0
20892,2017-08-11,1100833,74981.03,90000,74115.00,2.0,2.0,960.0,0.0,95975.0,26,24,2016,1.0,16.0,1.0,74200.0
20917,2017-08-10,1082127,205775.74,191000,183060.00,3.0,2.0,1656.0,1896.0,228871.0,35,14,2015,0.0,9.0,1.0,189000.0
20920,2017-08-10,1095787,534963.01,241738,203882.23,3.0,2.0,1582.0,3250.0,297598.0,35,5,2011,1.0,5.0,2.0,226900.0
20927,2017-08-10,1081856,264784.67,294316,247500.00,3.0,2.0,1848.0,7282.0,297739.0,35,24,2016,1.0,3.0,2.0,276600.0
20944,2017-08-09,1093868,253341.24,218647,179000.00,3.0,2.0,1318.0,7500.0,226724.0,39,17,2014,0.0,4.0,1.0,179100.0
20948,2017-08-09,1086880,536375.69,290288,180630.00,5.0,3.0,2080.0,9187.5,266105.0,39,18,2014,0.0,2.0,3.0,203800.0
20960,2017-08-09,1101264,93235.0,275083,122679.05,3.0,2.0,1269.0,7575.0,301613.0,39,11,2012,1.0,5.0,4.0,225600.0
