,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
10208,2018-11-14,1169708,285025.52,164000,170158.49,2.0,2.0,970.0,197460.0,29,12,2017,6.0,1.0,172100.0
10257,2018-11-13,1176756,12704.44,137000,12704.44,3.0,2.0,1230.0,174401.0,113,99,2018,2.0,1.0,12800.0
10385,2018-11-06,1177424,192237.15,115400,110800.07,1.0,1.0,670.0,384100.0,89,11,2017,4.0,1.0,124100.0
10425,2018-11-05,1163530,188359.37,90000,192056.57,0.0,0.0,810.0,257738.0,93,33,2016,1.0,1.0,192100.0
10439,2018-11-05,1166007,197072.49,233481,201028.35,3.0,2.0,1270.0,296503.0,93,80,2017,4.0,2.0,210300.0
10512,2018-10-31,1176744,227076.99,124129,111500.00,2.0,1.0,752.0,172396.0,44,36,2017,5.0,1.0,111600.0
10547,2018-10-29,1172136,180752.57,162824,143500.00,2.0,2.0,1250.0,190071.0,84,78,2018,5.0,1.0,166300.0
10555,2018-10-29,1175648,283963.27,130950,120200.00,2.0,1.0,968.0,170523.0,84,31,2016,2.0,3.0,134800.0
10557,2018-10-29,1172407,269308.14,151525,142760.00,3.0,2.0,1114.0,178623.0,84,50,2017,4.0,1.0,142800.0
10558,2018-10-29,1174848,9287.77,162750,12296.80,3.0,2.0,1325.0,186184.0,84,65,2017,2.0,3.0,37000.0
10571,2018-10-29,1176042,177485.11,119000,117660.00,1.0,1.0,810.0,150742.0,84,69,2017,5.0,1.0,117900.0
10628,2018-10-24,1165700,462599.99,312141,345213.18,0.0,1.0,760.0,405312.0,31,21,2016,4.0,1.0,345300.0
10675,2018-10-23,1174270,17108.64,172000,25669.98,4.0,2.0,1716.0,172000.0,30,25,2017,1.0,5.0,30300.0
10703,2018-10-22,1155951,242365.13,130000,112677.78,1.0,1.0,620.0,149808.0,80,41,2016,5.0,1.0,120100.0
10780,2018-10-17,1173128,41956.27,122574,37887.40,2.0,1.0,1000.0,391200.0,70,53,2017,4.0,1.0,181100.0
10784,2018-10-17,1173127,126051.81,100937,87425.00,1.0,1.0,722.0,125078.0,70,58,2017,4.0,1.0,90800.0
10881,2018-10-16,1172172,10813.6,96625,11283.56,0.0,0.0,340.0,115575.0,79,67,2017,7.0,1.0,29100.0
10952,2018-10-15,1171323,114974.87,141900,116343.05,2.0,1.0,1596.0,179259.0,97,41,2016,8.0,1.0,116400.0
10953,2018-10-15,1170955,29845.97,44000,31196.97,1.0,1.0,688.0,272500.0,97,69,2017,1.0,2.0,31200.0
10973,2018-10-15,1171149,103924.9,68000,49300.00,2.0,2.0,1012.0,92989.0,97,89,2018,5.0,1.0,49400.0
11173,2018-10-03,1169740,491796.95,525453,495738.51,2.0,2.0,1532.0,686612.0,76,66,2018,5.0,1.0,495800.0
11175,2018-10-03,1169955,71595.6,128391,71514.26,2.0,2.0,1000.0,164742.0,76,61,2017,2.0,1.0,126600.0
11176,2018-10-03,1169844,34603.81,140076,35600.00,1.0,2.0,997.0,183787.0,76,30,2016,3.0,1.0,35700.0
11195,2018-10-02,1171895,28685.86,55800,28685.86,3.0,2.0,959.0,69979.0,72,72,2018,1.0,1.0,40400.0
11221,2018-10-02,1167396,16836.98,130000,16836.98,2.0,2.0,965.0,159610.0,72,52,2017,1.0,1.0,40100.0
