,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
3362,2020-01-06,1235502,190492.15,252949,194327.62,3.0,2.0,1544.0,9900.0,314855.0,211,154,2018,0.0,7.0,1.0,246600.0
3363,2020-01-06,1238036,133637.69,192978,135605.63,3.0,2.0,2112.0,6343.0,407625.0,211,135,2018,0.0,3.0,1.0,320000.0
3372,2020-01-06,1240951,465507.12,129691,224197.00,3.0,2.0,1154.0,6300.0,330299.0,211,61,2017,0.0,6.0,3.0,228000.0
3374,2020-01-06,1235645,338858.8,194000,190350.00,4.0,3.0,1765.0,4189.0,252684.0,211,71,2017,1.0,9.0,1.0,69100.0
3384,2020-01-06,1238137,482432.62,134103,181480.51,3.0,2.0,1868.0,7750.0,311066.0,211,75,2017,0.0,4.0,2.0,215600.0
3385,2020-01-06,1226716,411979.71,214605,215250.00,3.0,2.0,1758.0,6318.0,279187.0,211,147,2018,1.0,9.0,1.0,215300.0
3399,2019-12-18,1241741,224216.2,422128,225655.08,0.0,0.0,2700.0,217800.0,308200.0,33,31,2019,0.0,3.0,1.0,271200.0
3404,2019-12-18,1241312,3271893.01,2684220,3271893.01,6.0,4.0,4329.0,10567.0,3556772.0,33,32,2019,1.0,4.0,1.0,12500.0
3424,2019-12-17,1240407,5307.55,136054,5307.55,3.0,3.0,1704.0,1540.0,171100.0,28,23,2019,1.0,1.0,1.0,28200.0
3425,2019-12-17,1239977,1228772.1,507563,1228772.10,4.0,3.0,2834.0,10762.0,622704.0,28,11,2016,0.0,4.0,1.0,369100.0
3445,2019-12-17,1240193,226485.09,98516,203400.00,3.0,2.0,1170.0,10000.0,261206.0,28,19,2019,0.0,1.0,1.0,205200.0
3454,2019-12-16,1232328,620074.23,219560,211120.00,4.0,2.0,1830.0,5000.0,275193.0,61,41,2018,1.0,6.5,1.0,228200.0
3465,2019-12-16,1237909,583068.28,320000,391000.00,4.0,2.0,2304.0,2809.0,390271.0,61,50,2019,1.0,4.0,1.0,200100.0
3479,2019-12-16,1239592,530125.91,415203,406010.90,4.0,2.0,2122.0,8692.0,544399.0,61,2,2009,0.0,5.0,1.0,406100.0
3498,2019-12-16,1240473,326088.99,240000,304000.00,3.0,2.0,1348.0,1403.0,802900.0,61,23,2017,1.0,3.5,1.0,230100.0
3500,2019-12-16,1224330,1099972.18,888768,990000.00,6.0,7.0,4874.0,6143.0,1136796.0,61,33,2018,1.0,2.0,1.0,4100.0
3506,2019-12-11,1238376,284998.38,181442,117700.00,2.0,1.0,1076.0,6600.0,261485.0,57,31,2018,1.0,7.0,1.0,136400.0
3520,2019-12-11,1238240,218180.28,220720,227762.76,3.0,1.0,1015.0,4300.0,270079.0,57,36,2018,1.0,10.0,4.0,200100.0
3522,2019-12-11,1239584,388562.36,128288,249900.00,3.0,2.0,1954.0,7800.0,356519.0,57,7,2016,0.0,2.0,3.0,69100.0
3529,2019-12-11,1240408,459732.08,197458,227920.00,2.0,1.0,899.0,6750.0,278269.0,57,18,2017,1.0,5.0,1.0,200100.0
3541,2019-12-11,1238373,248237.72,212964,124697.09,4.0,2.0,1670.0,12453.8,253888.0,57,16,2017,1.0,2.0,1.0,182200.0
3558,2019-12-10,1228006,750565.73,316772,376000.00,5.0,3.0,2869.0,5250.0,387493.0,4,2,2018,1.0,5.5,1.0,265100.0
3567,2019-12-09,1236774,452222.91,184071,218400.00,2.0,2.0,1305.0,6900.0,281260.0,88,32,2017,0.0,11.0,1.0,222100.0
3569,2019-12-09,1238230,393485.04,390196,414844.20,5.0,3.0,2837.0,15002.0,477608.0,88,18,2017,0.0,3.0,3.0,169100.0
3591,2019-12-09,1239885,253138.19,191100,197640.00,3.0,2.0,1416.0,1760.0,240717.0,88,64,2018,1.0,8.0,1.0,10100.0
3611,2019-12-09,1238374,272506.55,161014,272506.55,3.0,1.0,1098.0,5000.0,250895.0,88,59,2018,0.0,2.0,1.0,141600.0
3627,2019-12-09,1236771,920098.75,695715,947389.24,4.0,3.0,3207.0,7494.0,1039722.0,88,35,2017,1.0,8.0,1.0,16100.0
